Artichoke	Amanda Ghassaei	Cynara cardunculus	Artichoke	vegetable, edible, flower	{"centerX":1397,"centerY":1377,"angle":137.5,"reverse":true,"imageWidth":2673,"imageHeight":2673,"uuid":"e9acdbad-1556-41a3-9128-8a24abc2f751"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
Mammillaria zweilmanniana 'Pink Crown'	Amanda Ghassaei	Mammillaria zweilmanniana	Mammillaria 'Pink Crown'	cactus, flowering	{"centerX":1532,"centerY":1734,"angle":275,"reverse":false,"imageWidth":3024,"imageHeight":4032,"uuid":"94bb5c38-c275-4d61-85fe-28f03f911726"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
NoID	Amanda Ghassaei				{"centerX":1444,"centerY":1657,"angle":137.5,"reverse":true,"imageWidth":3024,"imageHeight":4032,"uuid":"b025e866-e182-43af-a65a-3622834b0043"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
Succulent NoID	Amanda Ghassaei			succulent	{"centerX":1378,"centerY":1355,"angle":137.5,"reverse":true,"imageWidth":2712,"imageHeight":2712,"uuid":"987a7ff7-5c2e-4ee9-a73e-229e61e7f9b1"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
Echeveria 'Brown Rose'	Amanda Ghassaei	Echeveria	Echeveria 'Brown Rose'	succulent	{"centerX":1335,"centerY":2112,"angle":137.5,"reverse":true,"imageWidth":3024,"imageHeight":4032,"uuid":"704c118c-e58d-41bb-a6c5-233bbd626318"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
Haworthia marumiana var. batesiana	Amanda Ghassaei	Haworthia marumiana var. batesiana		succulent	{"centerX":1494,"centerY":1942,"angle":137.5,"reverse":true,"imageWidth":3024,"imageHeight":4032,"uuid":"93826555-837b-475e-9178-c3a148293983"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
Cactus NoID	Amanda Ghassaei			cactus, flowering	{"centerX":1399,"centerY":2154,"angle":137.5,"reverse":false,"imageWidth":3024,"imageHeight":4032,"uuid":"80b49dd8-d569-47c9-977a-9b35214882fd"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
Aeonium 'Emerald Ice'	Amanda Ghassaei	Aeonium	Aeonium 'Emerald Ice'	succulent	{"centerX":1642,"centerY":2011,"angle":52.9,"reverse":false,"imageWidth":3024,"imageHeight":4032,"uuid":"4391a6cb-2a7c-4eb6-bcf2-4ca63b3679ad"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
Bromeliad NoID	Amanda Ghassaei	Bromeliad	Bromeliad		{"centerX":1563,"centerY":1870,"angle":137.5,"reverse":false,"imageWidth":3024,"imageHeight":4032,"uuid":"5b691f06-9413-40d1-9e26-e54470664d6a"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
Fanged Aloe	Amanda Ghassaei			succulent	{"centerX":1304,"centerY":2048,"angle":137.5,"reverse":false,"imageWidth":3024,"imageHeight":4032,"uuid":"ab3e15ee-32ef-4367-b797-fc273e0ceaf3"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
Mammillaria longiflora stampferi	Amanda Ghassaei	Mammillaria longiflora stampferi		cactus	{"centerX":1412,"centerY":1857,"angle":169.8,"reverse":true,"imageWidth":3024,"imageHeight":4032,"uuid":"156375cc-437c-4b9b-a626-692a9244c462"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
